berlin52; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544,365234375
ch150; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6530,90087890625
lin318; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 42731,1484375
ch150; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6598,2958984375
ch150; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6561,91552734375
ch130; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 6150,44921875
eil51; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 428,981628417969
eil51; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 428,981597900391
eil51; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 428,981597900391
eil51; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 428,981658935547
pr144; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 58535,21875
tsp225; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 3892,1005859375
lin318; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 42748,62890625
lin105; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 14382,994140625
lin318; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 42945,34375
lin318; 10; NN; 10000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 42486.296875
lin318; 10; NN; 10000; OX; 80; Perturbacja; 20; 2OPT; 10; DROGA; 42161.84375
