berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8033.017578125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7808.19287109375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8171.220703125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7944.50048828125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7892.8681640625
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8226.0498046875
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7992.517578125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7991.4619140625
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8038.701171875
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8056.01123046875
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 7544.365234375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23656.333984375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 22992.005859375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23163.76171875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23381.736328125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23299.1953125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24607.109375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24256.62109375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23644.572265625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23778.76171875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23305.689453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21285.447265625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21285.44140625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21349.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21294.39453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21349.44140625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21377.505859375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 1; DROGA; 21307.423828125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.439453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.39453125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.443359375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.390625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.44140625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21294.392578125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 2; DROGA; 21285.435546875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.4375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 5; DROGA; 21285.435546875
