berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8421,302734375
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8597,6142578125
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8412,54296875
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8466,0830078125
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 9010,619140625
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8153,306640625
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8647,5224609375
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8307,1630859375
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 7930,169921875
berlin52; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8188,462890625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8405,7568359375
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8035,42578125
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8969,119140625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8517,4697265625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8845,056640625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8380,8876953125
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8330,9306640625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8051,43701171875
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8319,8447265625
berlin52; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8292,185546875
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8028,93994140625
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8425,716796875
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8055,35791015625
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8130,5869140625
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8744,212890625
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8858,4306640625
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8380,724609375
berlin52; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 8715,4443359375
