berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8524,9404296875
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8623,8720703125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8893,6787109375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8853,43359375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 7996,9775390625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8415,5458984375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8417,76953125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8557,7646484375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8167,1943359375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 8438,42578125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 9969,8642578125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 11500,072265625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 10901,623046875
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 11054,8955078125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 9789,783203125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 10691,806640625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 10840,291015625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 10354,9111328125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 11387,3505859375
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 10103,015625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 15896,0224609375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 14193,5390625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 16859,072265625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 16547,431640625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 16369,138671875
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 15800,7958984375
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 14610,134765625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 14626,8681640625
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 15740,5283203125
berlin52; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 16042,9130859375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8501,8955078125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8384,1982421875
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8609,1083984375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8180,26025390625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8133,97509765625
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8529,673828125
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8337,40234375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8641,34375
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 7842,951171875
berlin52; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 8203,4501953125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 11766,486328125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 11602,1904296875
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 9926,5810546875
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 11797,6748046875
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 11219,369140625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 9927,0732421875
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 9261,1767578125
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 10527,6728515625
berlin52; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 10717,3876953125
