berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8692,5556640625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8363,275390625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7959,65185546875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8158,974609375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8285,263671875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8421,1201171875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8399,720703125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8177,9501953125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8112,90380859375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7925,35986328125
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8534,876953125
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8250,16796875
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8905,68359375
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8698,9453125
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8220,6650390625
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8570,3544921875
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8700,2470703125
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8559,0712890625
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8762,9248046875
berlin52; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8718,1328125
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 9017,658203125
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8325,701171875
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8474,494140625
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8841,9345703125
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 9796,099609375
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8676,494140625
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 9181,8935546875
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 9184,9853515625
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8722,578125
berlin52; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8222,470703125
