ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13203,5458984375
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12614,0361328125
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13113,953125
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12116,96484375
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12853,552734375
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13629,6552734375
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12848,8291015625
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12633,4658203125
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13094,9794921875
ch150; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12504,421875
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13398,9599609375
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13803,0703125
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12805,220703125
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13336,4033203125
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12827,6142578125
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12296,3154296875
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13037,07421875
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13478,857421875
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13463,2998046875
ch150; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13216,6689453125
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12986,9130859375
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12432,0966796875
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13706,763671875
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13677,3388671875
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13135,8076171875
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12052,10546875
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13203,5126953125
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 14139,431640625
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13128,369140625
ch150; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13120,1142578125
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 14051,1005859375
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13394,4951171875
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13494,708984375
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13078,7060546875
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13015,8603515625
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 12680,03125
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13434,669921875
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13502,677734375
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13053,841796875
ch150; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 13044,91015625
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12553,4033203125
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14572,869140625
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12692,451171875
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13513,0419921875
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12526,9111328125
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12646,7744140625
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13362,68359375
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12579,1494140625
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14866,15625
ch150; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13451,26953125
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13403,791015625
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12816,9853515625
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12944,8193359375
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13276,314453125
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12880,0185546875
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12597,29296875
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12189,5146484375
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12745,1376953125
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13152,5
ch150; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13619,951171875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13720,03515625
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13039,734375
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13208,0986328125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13185,8154296875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12708,5703125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13634,806640625
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13374,5576171875
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13038,880859375
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 12629,345703125
ch150; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13345,501953125
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14455,6982421875
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13023,90625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14308,900390625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13276,927734375
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14253,9921875
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 14069,8603515625
ch150; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 13935,09765625
