ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 12804,521484375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 12728,3623046875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 14335,8720703125
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 13335,3076171875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 13046,927734375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 12677,85546875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 14037,8369140625
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 13848,408203125
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 12203,240234375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 13506,41015625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20709,9765625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20369,689453125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20050,681640625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20678,12109375
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 21440,3671875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20059,03125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 19801,4921875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 21632,05078125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 20970,0546875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 19308,701171875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 32018,072265625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 32935,1796875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 32398,14453125
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 30040,537109375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 33765,91796875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 31436,09765625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 31890,15625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 32151,509765625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 33749,19140625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 31866,318359375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12064,26171875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12260,6591796875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12420,568359375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 11775,3037109375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 11185,9228515625
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12726,5302734375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 11609,76953125
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12017,7880859375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12070,875
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 12309,947265625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 20221,28125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 20680,21875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 19044,66015625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 19987,41015625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 19024,607421875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 21511,150390625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 18018,763671875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 18633,556640625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 17534,896484375
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 21566,92578125
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 28196,697265625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 31838,55859375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 31579,822265625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 29316,416015625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 30928,775390625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 30960,91796875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 30699,201171875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 30558,62109375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 32286,369140625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 30733,37109375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11284,314453125
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 12267,740234375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11943,9775390625
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11007,2041015625
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 10907,8349609375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11686,5556640625
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11833,984375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11267,0380859375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 11250,2109375
ch150; 10; Losowo; 5000; OX; 0; Inwersja; 85; 2OPT; 0; DROGA; 12276,5107421875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 19759,6015625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 19143,076171875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 18333,240234375
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 18845,5546875
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 19113,6015625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 18940,052734375
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 19448,931640625
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 18309,39453125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 18288,345703125
ch150; 10; Losowo; 5000; OX; 0; Zamiana; 85; 2OPT; 0; DROGA; 20613,630859375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 30481,93359375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 33475,64453125
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 33749,28515625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 32474,279296875
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 31933,236328125
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 30319,64453125
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 33003,87890625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 30483,755859375
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 31953,416015625
ch150; 10; Losowo; 5000; OX; 0; Perturbacja; 85; 2OPT; 0; DROGA; 31052,93359375
