ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13336,419921875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14374,1484375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13973,728515625
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15338,4296875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14127,24609375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13402,7841796875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14840,505859375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15168,650390625
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14623,0986328125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14235,6220703125
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 18449,044921875
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 18327,5625
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 18177,60546875
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 16949,482421875
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 18262,55078125
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 17708,2734375
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 17451,73046875
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 17017,349609375
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 17418,94921875
ch150; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 17606,537109375
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21934,544921875
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 22195,544921875
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21772,28515625
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 19872,619140625
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 22870,4375
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21495,072265625
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21014,400390625
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21234,111328125
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 21545,830078125
ch150; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23195,552734375
