berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8097,5654296875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8053,0244140625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8677,1298828125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8953,837890625
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8313,130859375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8096,046875
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8194,583984375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8443,349609375
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8008,12548828125
berlin52; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8187,34716796875
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7941,31298828125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8014,7314453125
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7953,39794921875
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7944,5
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8076,76025390625
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7990,150390625
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 8092,08447265625
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7925,91943359375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7846,7880859375
berlin52; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7985,779296875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31345,70703125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29309,78125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32270,88671875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 35777,5859375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31988,015625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34370,00390625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30210,53515625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33475,4765625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31153,10546875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34958,3671875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23662,095703125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23745,955078125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24250,6015625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24051,634765625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23470,68359375
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23109,923828125
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24796,998046875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 24063,150390625
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23192,171875
kroA100; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 23208,962890625
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14859,6611328125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15112,2958984375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14079,7412109375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14346,748046875
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 16124,1611328125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14500,3818359375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 13807,3349609375
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 15170,76953125
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14319,1025390625
ch150; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 14204,1494140625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7908,8583984375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7573,2548828125
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7371,70263671875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7924,23583984375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7580,701171875
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7820,68994140625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7693,93896484375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7889,41162109375
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7804,55712890625
ch150; 10; NN; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 7732,0869140625
