kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29627,828125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33853,70703125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33315,49609375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32242,21484375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29449,390625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32512,45703125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32150,259765625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33530,625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30656,787109375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33203,71875
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 40142,17578125
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 44102,02734375
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 39976,796875
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 38519,25
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 41430,64453125
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 39075,94921875
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 39163,4921875
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 40886,43359375
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 39873,53125
kroA100; 20; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 41751,38671875
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 46460,55078125
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 49241,6875
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 45208,66796875
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 43397,9921875
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 47325,8671875
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 46899,00390625
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 57458,1640625
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 48550,8125
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 45105,5625
kroA100; 50; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 52824,3359375
