kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30123,798828125
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32249,599609375
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 28078,072265625
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32456,654296875
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31576,806640625
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31586,271484375
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30653,984375
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30283,203125
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33696,125
kroA100; 10; Losowo; 5000; OX; 15; Inwersja; 15; 2OPT; 0; DROGA; 28307,267578125
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33918,453125
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33796,27734375
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32651,201171875
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33201,53125
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33525,7890625
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 29341,638671875
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 29326,8203125
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30129,25390625
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32296,658203125
kroA100; 10; Losowo; 5000; PMX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31966,140625
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31729,439453125
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31789,8671875
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 34194,75
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31301,98046875
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 34824,4375
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30482,33203125
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 28092,42578125
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32988,37109375
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33266,2421875
kroA100; 10; Losowo; 5000; CX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30204,380859375
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 33517,16796875
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32775,953125
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30936,0625
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32225,7890625
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 29475,583984375
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30702,521484375
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 32096,505859375
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 29066,642578125
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 30050,591796875
kroA100; 10; Losowo; 5000; GSX; 15; Inwersja; 15; 2OPT; 0; DROGA; 31968,091796875
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32120,474609375
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29998,287109375
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 33528,54296875
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31324,51953125
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29089,427734375
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 30655,84375
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31346,21875
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31813,11328125
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 33378,62890625
kroA100; 10; Losowo; 5000; OX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29343,927734375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 33235,67578125
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32704,802734375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29114,71484375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32116,76171875
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29037,943359375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31414,771484375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31629,271484375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31679,23046875
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32978,96484375
kroA100; 10; Losowo; 5000; PMX; 50; Inwersja; 15; 2OPT; 0; DROGA; 28987,591796875
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32047,640625
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 30464,55859375
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32281,8046875
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32539,873046875
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32363,95703125
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31704,544921875
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 30953,412109375
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31898,25
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 29990,134765625
kroA100; 10; Losowo; 5000; CX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31836,08203125
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 33385,75390625
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32063,3671875
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32560,275390625
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 33001,1796875
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32052,296875
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32729,197265625
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 30971,6484375
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 34609,8515625
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 31474,451171875
kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32526,962890625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 36705,57421875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31329,2890625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33160,21875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32447,673828125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31344,017578125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30676,919921875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 35605,15625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31460,5234375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30781,697265625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33689,23828125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 28456,775390625
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29551,482421875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31608,01171875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32601,82421875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34458,45703125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33340,8984375
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29984,3515625
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33148,23828125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29189,130859375
