kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 32802,33984375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 31438,130859375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 33614,98046875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 33356,59765625
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 31078,900390625
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 32194,45703125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 32174,8359375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 33388,671875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 31708,91015625
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 15; 2OPT; 0; DROGA; 31957,572265625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 57202,55078125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 55799,27734375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 56810,8671875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 56931,16015625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 53841,3203125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 54142,8828125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 54339,19140625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 57804,90234375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 58149,33203125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 15; 2OPT; 0; DROGA; 60850,359375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 95705,9921875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 85626,6015625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 80978,6171875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 81700,4296875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 79570,53125
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 97601,359375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 80532
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 87166,265625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 84487,734375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 15; 2OPT; 0; DROGA; 85616,5390625
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 30775,373046875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 29288,07421875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 29472,23828125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 29306,1484375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 28878,701171875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 27530,98046875
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 30785,578125
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 31411,193359375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 28746,146484375
kroA100; 10; Losowo; 5000; OX; 0; Inwersja; 50; 2OPT; 0; DROGA; 29403,919921875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 61231,4296875
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 51078,03125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 53542,1015625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 49720,484375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 58908,03515625
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 49901,96484375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 54872,375
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 60776,1328125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 55583,17578125
kroA100; 10; Losowo; 5000; OX; 0; Zamiana; 50; 2OPT; 0; DROGA; 55734,90625
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 82210,5
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 88637,921875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 82153,5234375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 82831,4375
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 88763,4921875
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 69438,5
kroA100; 10; Losowo; 5000; OX; 0; Perturbacja; 50; 2OPT; 0; DROGA; 81704,65625
